,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,poke_int,Errors
106,2020-06-09 20:35:10,0,4.16,2,1,Pellet,Left,44,20,43,NaN,FED3.CSV,0 days 04:56:30,0 days 00:00:11,0.0
107,2020-06-09 20:36:49,0,4.14,0,1,Poke,Left,44,21,43,NaN,FED3.CSV,0 days 04:58:09,0 days 00:01:39,1.0
108,2020-06-09 20:36:52,0,4.14,0,1,Poke,Left,45,21,43,NaN,FED3.CSV,0 days 04:58:12,0 days 00:00:03,0.0
109,2020-06-09 20:36:56,0,4.16,1,1,Pellet,Left,45,21,44,NaN,FED3.CSV,0 days 04:58:16,0 days 00:00:04,0.0
110,2020-06-09 20:37:10,0,4.15,0,1,Poke,Left,46,21,44,NaN,FED3.CSV,0 days 04:58:30,0 days 00:00:14,0.0
111,2020-06-09 20:37:32,0,4.16,20,1,Pellet,Left,46,21,45,NaN,FED3.CSV,0 days 04:58:52,0 days 00:00:22,0.0
112,2020-06-09 20:47:24,0,4.14,0,1,Poke,Left,47,21,45,NaN,FED3.CSV,0 days 05:08:44,0 days 00:09:52,0.0
113,2020-06-09 20:47:30,0,4.15,2,1,Pellet,Left,47,21,46,NaN,FED3.CSV,0 days 05:08:50,0 days 00:00:06,0.0
114,2020-06-09 20:47:53,0,4.14,0,1,Poke,Left,48,21,46,NaN,FED3.CSV,0 days 05:09:13,0 days 00:00:23,0.0
115,2020-06-09 20:48:09,0,4.15,9,1,Poke,Left,49,21,46,NaN,FED3.CSV,0 days 05:09:29,0 days 00:00:16,0.0
116,2020-06-09 20:48:17,0,4.14,4,1,Poke,Left,50,21,46,NaN,FED3.CSV,0 days 05:09:37,0 days 00:00:08,0.0
117,2020-06-09 20:48:25,0,4.14,4,1,Poke,Left,51,21,46,NaN,FED3.CSV,0 days 05:09:45,0 days 00:00:08,0.0
118,2020-06-09 20:48:34,0,4.15,4,1,Poke,Left,52,21,46,NaN,FED3.CSV,0 days 05:09:54,0 days 00:00:09,0.0
119,2020-06-09 20:48:45,0,4.15,6,1,Poke,Left,52,22,46,NaN,FED3.CSV,0 days 05:10:05,0 days 00:00:11,1.0
120,2020-06-09 20:49:14,0,4.16,20,1,Pellet,Left,52,22,47,NaN,FED3.CSV,0 days 05:10:34,0 days 00:00:29,0.0
121,2020-06-09 21:22:53,0,4.14,0,1,Poke,Left,53,22,47,NaN,FED3.CSV,0 days 05:44:13,0 days 00:33:39,0.0
122,2020-06-09 21:22:58,0,4.15,1,1,Pellet,Left,53,22,48,NaN,FED3.CSV,0 days 05:44:18,0 days 00:00:05,0.0
123,2020-06-09 21:23:20,0,4.14,0,1,Poke,Left,54,22,48,NaN,FED3.CSV,0 days 05:44:40,0 days 00:00:22,0.0
124,2020-06-09 21:23:41,0,4.16,20,1,Pellet,Left,54,22,49,NaN,FED3.CSV,0 days 05:45:01,0 days 00:00:21,0.0
125,2020-06-09 21:23:55,0,4.14,0,1,Poke,Left,55,22,49,NaN,FED3.CSV,0 days 05:45:15,0 days 00:00:14,0.0
126,2020-06-09 21:24:08,0,4.14,6,1,Pellet,Left,55,22,50,NaN,FED3.CSV,0 days 05:45:28,0 days 00:00:13,0.0
127,2020-06-09 21:25:16,0,4.14,0,1,Poke,Left,56,22,50,NaN,FED3.CSV,0 days 05:46:36,0 days 00:01:08,0.0
128,2020-06-09 21:25:48,0,4.15,20,1,Pellet,Left,56,22,51,NaN,FED3.CSV,0 days 05:47:08,0 days 00:00:32,0.0
129,2020-06-09 21:46:15,0,4.14,0,1,Poke,Left,57,22,51,NaN,FED3.CSV,0 days 06:07:35,0 days 00:20:27,0.0
130,2020-06-09 21:46:25,0,4.14,5,1,Pellet,Left,57,22,52,NaN,FED3.CSV,0 days 06:07:45,0 days 00:00:10,0.0
131,2020-06-09 21:46:48,0,4.13,0,1,Poke,Left,58,22,52,NaN,FED3.CSV,0 days 06:08:08,0 days 00:00:23,0.0
132,2020-06-09 21:46:58,0,4.14,5,1,Poke,Left,59,22,52,NaN,FED3.CSV,0 days 06:08:18,0 days 00:00:10,0.0
133,2020-06-09 21:47:12,0,4.14,8,1,Poke,Left,60,22,52,NaN,FED3.CSV,0 days 06:08:32,0 days 00:00:14,0.0
134,2020-06-09 21:47:34,0,4.15,20,1,Pellet,Left,60,22,53,NaN,FED3.CSV,0 days 06:08:54,0 days 00:00:22,0.0
135,2020-06-09 21:48:10,0,4.13,0,1,Poke,Left,60,23,53,NaN,FED3.CSV,0 days 06:09:30,0 days 00:00:36,1.0
136,2020-06-09 21:48:48,0,4.14,0,1,Poke,Left,61,23,53,NaN,FED3.CSV,0 days 06:10:08,0 days 00:00:38,0.0
137,2020-06-09 21:49:19,0,4.14,20,1,Pellet,Left,61,23,54,NaN,FED3.CSV,0 days 06:10:39,0 days 00:00:31,0.0
138,2020-06-09 22:05:25,0,4.14,0,1,Poke,Left,62,23,54,NaN,FED3.CSV,0 days 06:26:45,0 days 00:16:06,0.0
139,2020-06-09 22:05:43,0,4.14,2,1,Pellet,Left,62,23,55,NaN,FED3.CSV,0 days 06:27:03,0 days 00:00:18,0.0
140,2020-06-09 22:06:15,0,4.14,0,1,Poke,Left,62,24,55,NaN,FED3.CSV,0 days 06:27:35,0 days 00:00:32,1.0
141,2020-06-09 22:06:18,0,4.13,0,1,Poke,Left,63,24,55,NaN,FED3.CSV,0 days 06:27:38,0 days 00:00:03,0.0
142,2020-06-09 22:06:57,0,4.14,20,1,Pellet,Left,63,24,56,NaN,FED3.CSV,0 days 06:28:17,0 days 00:00:39,0.0
143,2020-06-09 22:07:13,0,4.13,0,1,Poke,Left,64,24,56,NaN,FED3.CSV,0 days 06:28:33,0 days 00:00:16,0.0
144,2020-06-09 22:26:37,0,4.14,20,1,Pellet,Left,64,24,57,NaN,FED3.CSV,0 days 06:47:57,0 days 00:19:24,0.0
145,2020-06-09 23:03:17,0,4.13,0,1,Poke,Left,64,25,57,NaN,FED3.CSV,0 days 07:24:37,0 days 00:36:40,1.0
146,2020-06-09 23:03:59,0,4.13,0,1,Poke,Left,65,25,57,NaN,FED3.CSV,0 days 07:25:19,0 days 00:00:42,0.0
147,2020-06-09 23:04:20,0,4.14,20,1,Pellet,Left,65,25,58,NaN,FED3.CSV,0 days 07:25:40,0 days 00:00:21,0.0
148,2020-06-09 23:04:47,0,4.13,0,1,Poke,Left,65,26,58,NaN,FED3.CSV,0 days 07:26:07,0 days 00:00:27,1.0
149,2020-06-09 23:04:50,0,4.12,0,1,Poke,Left,65,27,58,NaN,FED3.CSV,0 days 07:26:10,0 days 00:00:03,1.0
150,2020-06-09 23:04:52,0,4.12,0,1,Poke,Left,66,27,58,NaN,FED3.CSV,0 days 07:26:12,0 days 00:00:02,0.0
151,2020-06-09 23:05:14,0,4.14,20,1,Pellet,Left,66,27,59,NaN,FED3.CSV,0 days 07:26:34,0 days 00:00:22,0.0
152,2020-06-09 23:05:33,0,4.12,0,1,Poke,Left,66,28,59,NaN,FED3.CSV,0 days 07:26:53,0 days 00:00:19,1.0
153,2020-06-09 23:05:35,0,4.12,0,1,Poke,Left,67,28,59,NaN,FED3.CSV,0 days 07:26:55,0 days 00:00:02,0.0
154,2020-06-09 23:09:37,0,4.14,20,1,Pellet,Left,67,28,60,NaN,FED3.CSV,0 days 07:30:57,0 days 00:04:02,0.0
155,2020-06-09 23:10:00,0,4.12,0,1,Poke,Left,67,29,60,NaN,FED3.CSV,0 days 07:31:20,0 days 00:00:23,1.0
156,2020-06-09 23:11:20,0,4.12,0,1,Poke,Left,67,30,60,NaN,FED3.CSV,0 days 07:32:40,0 days 00:01:20,1.0
157,2020-06-09 23:12:23,0,4.12,0,1,Poke,Left,67,31,60,NaN,FED3.CSV,0 days 07:33:43,0 days 00:01:03,1.0
158,2020-06-09 23:13:00,0,4.12,0,1,Poke,Left,68,31,60,NaN,FED3.CSV,0 days 07:34:20,0 days 00:00:37,0.0
159,2020-06-09 23:13:21,0,4.14,20,1,Pellet,Left,68,31,61,NaN,FED3.CSV,0 days 07:34:41,0 days 00:00:21,0.0
160,2020-06-09 23:13:38,0,4.12,0,1,Poke,Left,69,31,61,NaN,FED3.CSV,0 days 07:34:58,0 days 00:00:17,0.0
161,2020-06-09 23:14:04,0,4.14,20,1,Pellet,Left,69,31,62,NaN,FED3.CSV,0 days 07:35:24,0 days 00:00:26,0.0
162,2020-06-09 23:19:21,0,4.12,0,1,Poke,Left,70,31,62,NaN,FED3.CSV,0 days 07:40:41,0 days 00:05:17,0.0
163,2020-06-09 23:20:05,0,4.13,20,1,Pellet,Left,70,31,63,NaN,FED3.CSV,0 days 07:41:25,0 days 00:00:44,0.0
164,2020-06-09 23:28:22,0,4.12,0,1,Poke,Left,71,31,63,NaN,FED3.CSV,0 days 07:49:42,0 days 00:08:17,0.0
165,2020-06-09 23:29:20,0,4.14,20,1,Pellet,Left,71,31,64,NaN,FED3.CSV,0 days 07:50:40,0 days 00:00:58,0.0
166,2020-06-09 23:35:53,0,4.12,0,1,Poke,Left,72,31,64,NaN,FED3.CSV,0 days 07:57:13,0 days 00:06:33,0.0
167,2020-06-09 23:35:57,0,4.13,1,1,Pellet,Left,72,31,65,NaN,FED3.CSV,0 days 07:57:17,0 days 00:00:04,0.0
168,2020-06-09 23:36:10,0,4.12,0,1,Poke,Left,73,31,65,NaN,FED3.CSV,0 days 07:57:30,0 days 00:00:13,0.0
169,2020-06-09 23:36:34,0,4.13,20,1,Pellet,Left,73,31,66,NaN,FED3.CSV,0 days 07:57:54,0 days 00:00:24,0.0
170,2020-06-09 23:42:06,0,4.12,0,1,Poke,Left,73,32,66,NaN,FED3.CSV,0 days 08:03:26,0 days 00:05:32,1.0
171,2020-06-09 23:48:39,0,4.12,0,1,Poke,Left,74,32,66,NaN,FED3.CSV,0 days 08:09:59,0 days 00:06:33,0.0
172,2020-06-09 23:48:43,0,4.12,1,1,Pellet,Left,74,32,67,NaN,FED3.CSV,0 days 08:10:03,0 days 00:00:04,0.0
173,2020-06-10 02:17:43,0,4.11,0,1,Poke,Left,75,32,67,NaN,FED3.CSV,0 days 10:39:03,0 days 02:29:00,0.0
174,2020-06-10 02:17:49,0,4.11,3,1,Poke,Left,76,32,67,NaN,FED3.CSV,0 days 10:39:09,0 days 00:00:06,0.0
175,2020-06-10 02:18:01,0,4.11,6,1,Poke,Left,76,33,67,NaN,FED3.CSV,0 days 10:39:21,0 days 00:00:12,1.0
176,2020-06-10 02:19:26,0,4.11,20,1,Pellet,Left,76,33,68,NaN,FED3.CSV,0 days 10:40:46,0 days 00:01:25,0.0
177,2020-06-10 02:20:55,0,4.11,0,1,Poke,Left,76,34,68,NaN,FED3.CSV,0 days 10:42:15,0 days 00:01:29,1.0
178,2020-06-10 02:20:56,0,4.11,0,1,Poke,Left,77,34,68,NaN,FED3.CSV,0 days 10:42:16,0 days 00:00:01,0.0
179,2020-06-10 02:21:17,0,4.12,20,1,Pellet,Left,77,34,69,NaN,FED3.CSV,0 days 10:42:37,0 days 00:00:21,0.0
180,2020-06-10 02:21:34,0,4.11,0,1,Poke,Left,78,34,69,NaN,FED3.CSV,0 days 10:42:54,0 days 00:00:17,0.0
181,2020-06-10 02:22:19,0,4.12,20,1,Pellet,Left,78,34,70,NaN,FED3.CSV,0 days 10:43:39,0 days 00:00:45,0.0
182,2020-06-10 02:22:56,0,4.11,0,1,Poke,Left,78,35,70,NaN,FED3.CSV,0 days 10:44:16,0 days 00:00:37,1.0
