,filename,group,sex,mouse,4hour,Left_Poke_Count,Right_Poke_Count,active_bias
93,SHI_C145_F1_FED005_070320_00.CSV,SHI,F,C145_F1,22,7,9,0.4375
94,SHI_C145_F1_FED005_070420_00.CSV,SHI,F,C145_F1,23,10,5,0.6666666666666666
95,SHI_C145_F1_FED005_070520_00.CSV,SHI,F,C145_F1,24,14,3,0.8235294117647058
96,SHI_C145_F1_FED005_070720_00.CSV,SHI,F,C145_F1,26,10,6,0.625
97,SHI_C145_F1_FED005_070720_00.CSV,SHI,F,C145_F1,27,11,7,0.6111111111111112
98,SHI_C145_F1_FED005_070820_00.CSV,SHI,F,C145_F1,27,13,5,0.7222222222222222
99,SHI_C145_F1_FED005_070820_00.CSV,SHI,F,C145_F1,28,14,5,0.7368421052631579
100,SHI_C145_F1_FED005_070920_00.CSV,SHI,F,C145_F1,28,13,1,0.9285714285714286
101,SHI_C145_F1_FED005_070920_00.CSV,SHI,F,C145_F1,29,14,1,0.9333333333333333
102,SHI_C145_F1_FED005_071020_00.CSV,SHI,F,C145_F1,29,18,1,0.9473684210526315
103,SHI_C145_F1_FED005_071020_00.CSV,SHI,F,C145_F1,30,18,1,0.9473684210526315
104,SHI_C145_F1_FED005_071120_00.CSV,SHI,F,C145_F1,30,8,4,0.6666666666666666
105,SHI_C145_F1_FED005_071120_00.CSV,SHI,F,C145_F1,31,14,6,0.7
106,SHI_C145_F1_FED005_071220_00.CSV,SHI,F,C145_F1,31,22,4,0.8461538461538461
107,SHI_C145_F1_FED005_071420_00.CSV,SHI,F,C145_F1,33,12,1,0.9230769230769231
108,SHI_C145_F1_FED005_071420_00.CSV,SHI,F,C145_F1,34,17,2,0.8947368421052632
109,SHI_C145_F1_FED005_071520_00.CSV,SHI,F,C145_F1,35,21,4,0.84
110,SHI_C145_F1_FED005_071620_00.CSV,SHI,F,C145_F1,35,12,2,0.8571428571428571
111,SHI_C145_F1_FED005_071620_00.CSV,SHI,F,C145_F1,36,21,3,0.875
112,SHI_C145_F1_FED005_071720_00.CSV,SHI,F,C145_F1,36,15,2,0.8823529411764706
113,SHI_C145_F1_FED005_071720_00.CSV,SHI,F,C145_F1,37,25,4,0.8620689655172413
114,SHI_C145_F1_FED005_071820_00.CSV,SHI,F,C145_F1,38,20,2,0.9090909090909091
115,SHI_C145_F1_FED005_071920_00.CSV,SHI,F,C145_F1,38,14,2,0.875
116,SHI_C145_F1_FED005_072120_00.CSV,SHI,F,C145_F1,40,8,0,1.0
117,SHI_C145_F1_FED005_072120_00.CSV,SHI,F,C145_F1,41,15,0,1.0
118,SHI_C145_F1_FED005_072320_00.CSV,SHI,F,C145_F1,42,2,0,1.0
119,SHI_C145_F1_FED005_072320_00.CSV,SHI,F,C145_F1,43,16,0,1.0
120,SHI_C145_F1_FED005_072420_00.CSV,SHI,F,C145_F1,44,21,3,0.875
121,SHI_C145_F1_FED005_072520_00.CSV,SHI,F,C145_F1,45,14,2,0.875
122,SHI_C145_F1_FED005_072620_00.CSV,SHI,F,C145_F1,45,8,0,1.0
