MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/21/2020 22:58,0,4.12,4,1,Pellet,Left,35,15,35,7,,,,,,,,,,
2/21/2020 23:46,0,4.12,0,1,Poke,Left,36,15,35,nan,,,,,,,,,,
2/21/2020 23:47,0,4.12,2,1,Pellet,Left,36,15,36,1,,,,,,,,,,
2/21/2020 23:47,0,4.12,0,1,Poke,Left,37,15,36,nan,,,,,,,,,,
2/21/2020 23:47,0,4.12,2,1,Pellet,Left,37,15,37,2,,,,,,,,,,
2/21/2020 23:47,0,4.12,0,1,Poke,Left,38,15,37,nan,,,,,,,,,,
2/22/2020 0:36,0,4.12,2,1,,Left,38,15,38,2/22/2020 0:36,0,4.11,0,1,Poke,Left,39,15,38,nan
2/22/2020 0:36,0,4.11,2,1,Pellet,Left,39,15,39,1,,,,,,,,,,
2/22/2020 0:37,0,4.11,0,1,Poke,Left,40,15,39,nan,,,,,,,,,,
2/22/2020 0:37,0,4.11,2,1,Pellet,Left,40,15,40,1,,,,,,,,,,
2/22/2020 1:16,0,4.11,0,1,Poke,Left,41,15,40,nan,,,,,,,,,,
2/22/2020 1:16,0,4.11,2,1,Pellet,Left,41,15,41,2,,,,,,,,,,
2/22/2020 1:16,0,4.11,0,1,Poke,Left,42,15,41,nan,,,,,,,,,,
2/22/2020 1:16,0,4.11,4,1,Pellet,Left,42,15,42,2,,,,,,,,,,
2/22/2020 1:16,0,4.11,0,1,Poke,Left,43,15,42,nan,,,,,,,,,,
2/22/2020 1:16,0,4.11,1,1,Pellet,Left,43,15,43,2,,,,,,,,,,
2/22/2020 1:30,0,4.11,0,1,Poke,Left,44,15,43,nan,,,,,,,,,,
2/22/2020 1:30,0,4.11,2,1,Pellet,Left,44,15,44,2,,,,,,,,,,
2/22/2020 1:31,0,4.11,0,1,Poke,Left,45,15,44,nan,,,,,,,,,,
2/22/2020 2:13,0,4.11,2,1,Pellet,Left,45,15,45,2519,,,,,,,,,,
2/22/2020 2:13,0,4.1,0,1,Poke,Left,46,15,45,nan,,,,,,,,,,
2/22/2020 2:13,0,4.11,2,1,Pellet,Left,46,15,46,2,,,,,,,,,,
